iter	RMSE
0	3.589169279
1	3.543528128
2	3.503600437
3	3.462875785
4	3.42688392
5	3.388927416
6	3.351748554
7	3.318044315
8	3.280649644
9	3.249151316
10	3.220756167
11	3.191851801
12	3.162965484
13	3.132937977
14	3.103933281
15	3.076585626
16	3.050701367
17	3.027014847
18	3.005032249
19	2.982099323
20	2.96010406
21	2.940013634
22	2.92322237
23	2.905471039
24	2.889504228
25	2.870092885
26	2.853364606
27	2.836178847
28	2.820393005
29	2.804380494
30	2.787377748
31	2.774697667
32	2.76128984
33	2.750047956
34	2.7366945
35	2.723947068
36	2.713537858
37	2.701946171
38	2.691504829
39	2.681103474
40	2.670204905
41	2.660304263
42	2.649698106
43	2.641428733
44	2.633449579
45	2.623774289
46	2.616452462
47	2.608656012
48	2.600191491
49	2.589288494
