iter	Passed	Remaining
0	5076	5071678
1	10013	4996717
2	14528	4828307
3	19330	4813197
4	24031	4782342
5	28232	4677130
6	32580	4621778
7	37173	4609544
8	41768	4599177
9	46497	4603290
10	50923	4578477
11	55506	4570046
12	59968	4552996
13	64638	4552387
14	69299	4550687
15	73522	4521634
16	78141	4518444
17	82650	4509028
18	87377	4511433
19	91955	4505811
20	96701	4508108
21	101116	4495079
22	106759	4534949
23	111389	4529822
24	116690	4550922
25	121286	4543572
26	126259	4550017
27	131015	4548096
28	136158	4558978
29	141127	4563113
30	145858	4559254
31	150803	4561812
32	155522	4557267
33	160075	4548028
34	164783	4543321
35	171747	4599020
36	177234	4612874
37	182074	4609367
38	186672	4599809
39	191521	4596521
40	197229	4613247
41	202309	4614576
42	206925	4605287
43	212312	4612980
44	220390	4677166
45	225543	4677571
46	230552	4674829
47	235639	4673519
48	240601	4669629
49	245199	4658790
